,batter_id,team,first_name,last_name
7344,673633,ARI,Yoshihisa,Hirano
10634,641341,NYM,Tyler,Bashlor
11529,606162,BAL,Yefry,Ramirez
12468,606149,NYY,Giovanny,Gallegos
12496,570666,NYY,Luis,Cessa
12684,476454,NYY,Dellin,Betances
12734,642528,NYY,Jonathan,Loaisiga
13327,594577,STL,Mike,Mayers
16434,592779,LAD,Brock,Stewart
16805,543208,TOR,Sam,Gaviglio
17485,571467,STL,Steven,Baron
23286,595465,ATL,Dan,Winkler
597,502273,CHC,Mike,Freeman
1521,641571,KC,Heath,Fillmyer
1680,607215,KC,Eric,Skoglund
1802,641745,KC,Brad,Keller
5133,669060,ATL,Bryse,Wilson
7153,641712,STL,Dakota,Hudson
13684,640463,ARI,Braden,Shipley
14706,543339,LAD,Daniel,Hudson
15736,467008,CHC,Pedro,Strop
17518,625643,CWS,Reynaldo,Lopez
20072,599683,DET,Warwick,Saupold
20145,571510,DET,Matthew,Boyd
20418,593576,PHI,Hector,Neris
13472,542289,LAD,Daniel,Corcino
20803,474319,TB,Brandon,Snyder
2766,489267,CLE,Adam,Rosales
3775,606992,CLE,Eric,Haase
6972,572863,CWS,Dustin,Garneau
11652,607223,HOU,AJ,Reed
73,628356,PIT,Jung,Ho Kang
409,657612,KC,Tim,Hill
619,543169,KC,Brian,Flynn
10866,501593,CWS,Luis,Avilan
10906,592229,CWS,Dylan,Covey
13061,572403,DET,Drew,VerHagen
9910,548357,SEA,Christian,Bergman
13146,624431,TEX,Jose,Trevino
15216,642701,LAD,Dennis,Santana
21002,544836,PIT,Enny,Romero
262,669203,MIL,Corbin,Burnes
12581,453344,CHC,Brandon,Morrow
19250,458677,CHC,Justin,Wilson
69999,620454,SD,Jose, Castillo
